country,year,gdp,tc1,tc2,tc3,srv,internet,bb
ARM,2010,10438.564190416904,0.7360708136363636,0.8324172840909091,0.3202562664583333,9.852863899106673,25.0,3.19288671267022
ARM,2011,10990.177099035007,0.7360708136363636,0.8324172840909091,0.3202562664583333,17.83414247498266,32.0,5.49292214098522
ARM,2012,11796.274117799436,0.7360708136363636,0.8324172840909091,0.3202562664583333,28.768889917661454,37.5,7.25580730107633
ARM,2013,12194.018952384286,0.7360708136363636,0.8324172840909091,0.3202562664583333,52.28325612177366,41.9,8.31673235203342
ARM,2014,12667.375733024917,0.7360708136363636,0.8324172840909091,0.3202562664583333,60.388877828654856,54.6228058583362,9.3376315946157
ARM,2015,13112.760090291533,0.7360708136363636,0.8324172840909091,0.3202562664583333,74.5523530586434,59.1008337674937,9.80149439763493
ARM,2016,13192.994073173128,0.7360708136363636,0.8324172840909091,0.3202562664583333,186.14443738929918,64.3460297653742,10.2497847569184
ARM,2017,14243.87490037949,0.7360708136363636,0.8324172840909091,0.3202562664583333,268.1748002953615,64.7448843250726,10.8172556564183
ARM,2018,15037.045242071204,0.7360708136363636,0.8324172840909091,0.3202562664583333,333.1087908386662,68.2450522610271,11.9399374219278
ARM,2019,16215.360796509412,0.7360708136363636,0.8324172840909091,0.3202562664583333,477.9746835443038,66.5439496866159,13.2819462446608
ARM,2020,15052.93597911361,0.7360708136363636,0.8324172840909091,0.3202562664583333,587.877764646294,76.50770055,14.8883804721864
ARM,2021,15921.705281964018,0.7360708136363636,0.8324172840909091,0.3202562664583333,712.9595246936502,78.61225758,16.2565945813558
ARM,2022,17886.178387716784,0.7360708136363636,0.8324172840909091,0.3202562664583333,862.1851003637344,77.02767465,17.7300708049016
ARM,2023,19402.75109155784,0.7360708136363636,0.8324172840909091,0.3202562664583333,1177.0063758728872,79.99663036,18.5458075085454
AZE,2010,19925.390066213746,0.5466658875,0.23545505692307694,0.3676727633333333,2.5402205264838975,46.0,5.1962691859745
