id,country,init_gdp,trad_lr,digital_lr,trad_cap1,trad_cap2,trad_cap3,digital_cap1,digital_cap2,digital_cap3
1,KAZ,26374.84,0.03,0.06,0.4751,0.6143,0.4203,0.0352,0.1755,0.1787
2,BLR,24012.61,0.04,0.04,0.9482,0.9616,0.8239,0.0883,0.1802,0.6897
3,AZE,19925.39,0.02,0.02,0.5467,0.2355,0.3677,0.0000,0.4592,0.1810
4,GEO,11294.37,0.04,0.04,1.0000,0.4028,0.4138,0.1787,0.0547,0.1410
5,ARM,10438.56,0.03,0.05,0.7361,0.8324,0.3203,0.1840,0.0000,0.0000
6,NOR,83256.79,0.02,0.03,0.7302,0.3501,0.4200,1.0000,1.0000,1.0000
